Node,Demand,Selection,total demand,demand fulfilled
317,1773,0,0,
318,2352,0,0,
319,2215,0,0,
320,1883,0,0,
321,1951,0,0,
322,2144,1,2144,
323,1964,0,0,
324,2048,0,0,
325,1884,0,0,
326,2019,0,0,
327,1917,0,0,
328,1597,0,0,
329,1494,0,0,
330,1376,0,0,
331,1604,0,0,
332,1301,0,0,
333,1454,0,0,
334,2062,0,0,
335,2067,0,0,
336,2370,0,0,
337,2107,0,0,
338,1775,0,0,
339,1843,0,0,
340,2036,0,0,
341,1939,0,0,
342,1909,0,0,
343,2129,0,0,
344,1241,0,0,
345,1433,0,0,
346,2252,0,0,
347,2349,0,0,
348,2086,0,0,
349,1821,0,0,
350,2014,0,0,
351,2105,0,0,
352,1699,0,0,
353,1575,0,0,
354,1999,0,0,
355,2096,0,0,
356,1717,0,0,
357,1593,0,0,
358,1856,0,0,
359,1553,0,0,
360,1649,0,0,
361,1746,0,0,
362,1483,0,0,
363,1218,0,0,
364,1501,0,0,
365,1487,0,0,
366,1783,0,0,
367,1659,0,0,
368,1541,0,0,
369,1406,0,0,
370,1553,0,0,
371,1650,0,0,
372,1718,0,0,
373,1415,0,0,
374,1281,0,0,
375,1737,0,0,
376,1528,0,0,
377,1533,0,0,
378,1836,0,0,
379,1573,0,0,
380,1241,0,0,
381,1309,0,0,
382,1908,0,0,
383,1576,0,0,
384,1594,0,0,
385,1355,0,0,
386,1906,0,0,
387,1707,0,0,
388,1506,0,0,
389,1470,0,0,
390,1386,0,0,
391,1517,0,0,
392,1642,0,0,
393,1647,0,0,
394,1246,0,0,
395,1853,0,0,
396,1688,0,0,
397,1356,0,0,
398,1424,0,0,
399,2023,0,0,
400,1926,0,0,
401,1896,0,0,
402,1769,0,0,
403,1711,0,0,
404,1548,0,0,
405,1498,0,0,
406,1588,0,0,
407,1504,0,0,
408,1803,0,0,
409,1715,0,0,
410,1933,0,0,
411,1487,0,0,
412,1464,0,0,
413,1750,0,0,
414,1597,0,0,
415,1441,0,0,
416,2264,0,0,
417,2084,0,0,
418,2168,0,0,
419,2076,0,0,
420,2139,0,0,
421,2037,0,0,
422,1562,1,1562,
423,1668,0,0,
424,1517,0,0,
425,1383,0,0,
426,1570,0,0,
427,1598,0,0,
428,1510,0,0,
429,1728,0,0,
430,1556,0,0,
431,1533,0,0,
432,1932,0,0,
433,1770,0,0,
434,1667,0,0,
435,1634,0,0,
436,1827,0,0,
437,1748,0,0,
438,1832,0,0,
439,1600,0,0,
440,2070,0,0,
441,1914,0,0,
442,1404,0,0,
443,1482,0,0,
444,1452,0,0,
445,1957,0,0,
446,2161,1,2161,
447,1981,0,0,
448,1811,0,0,
449,1709,0,0,
450,1590,0,0,
451,1472,0,0,
452,1889,0,0,
453,1765,0,0,
454,1647,0,0,
455,1498,0,0,
456,1553,0,0,
457,1650,0,0,
458,1895,0,0,
459,2105,0,0,
460,1987,0,0,
461,1937,0,0,
462,1839,0,0,
463,1894,0,0,
464,1991,0,0,
465,1728,0,0,
466,1463,1,1463,
467,1746,0,0,
468,1773,0,0,
469,1906,0,0,
470,1915,0,0,
471,1797,0,0,
472,1747,0,0,
473,1454,0,0,
474,1383,0,0,
475,2343,0,0,
476,2271,0,0,
477,2254,0,0,
478,2222,0,0,
479,1373,0,0,
480,1387,0,0,
481,1489,0,0,
482,1729,0,0,
483,2074,0,0,
484,1306,0,0,
485,2864,0,0,
486,2785,1,2785,
487,2768,0,0,
488,2736,0,0,
489,1900,0,0,
490,2002,0,0,
491,2242,0,0,
492,2587,0,0,
493,1448,0,0,
494,1556,0,0,
495,1624,0,0,
496,1817,0,0,
497,1637,0,0,
498,1721,0,0,
499,2368,0,0,
500,1747,0,0,
501,2252,0,0,
502,2456,0,0,
503,2276,1,2276,
504,1696,0,0,
505,1594,0,0,
506,1429,0,0,
507,1622,0,0,
508,1878,0,0,
509,1442,0,0,
510,1510,0,0,
511,1703,0,0,
512,1606,0,0,
513,2338,0,0,
514,1577,1,1577,
515,1800,0,0,
516,1932,0,0,
517,1496,0,0,
518,1564,0,0,
519,1757,0,0,
520,1660,0,0,
521,2074,0,0,
522,1631,0,0,
523,2000,0,0,
524,1876,0,0,
525,3009,0,0,
526,2777,0,0,
527,2004,0,0,
528,2142,0,0,
529,2088,0,0,
530,2187,0,0,
531,2246,0,0,
532,2486,0,0,
533,2358,0,0,
534,2087,0,0,
535,2833,0,0,
536,2915,0,0,
537,2858,0,0,
538,2841,0,0,
539,2809,0,0,
540,1973,0,0,
541,2075,0,0,
542,2315,0,0,
543,2660,0,0,
544,1751,0,0,
545,1807,0,0,
546,2239,0,0,
547,2114,0,0,
548,2043,0,0,
549,2268,0,0,
550,1913,0,0,
551,1718,0,0,
552,1590,0,0,
553,1637,0,0,
554,1631,0,0,
555,1714,0,0,
556,2146,0,0,
557,2173,0,0,
558,1818,0,0,
559,1623,0,0,
560,2773,0,0,
